MAG_AUTO_I,RA,DEC
20.49912453,25.39358900,-32.84610100
19.59319115,25.39364100,-32.84735300
21.59642792,25.39371000,-32.78716700
19.69465256,25.39388100,-32.83947900
23.04026413,25.39413700,-32.80303200
18.79327011,25.39425700,-32.84694300
24.36012459,25.39448100,-32.79429900
23.64929962,25.39456700,-32.79178700
19.76504135,25.39484900,-32.85251400
24.27313614,25.39505200,-32.78834900
21.91183090,25.39510300,-32.83593200
23.56343269,25.39528100,-32.79584800
22.42160034,25.39558100,-32.84886100
22.98587418,25.39617900,-32.84505600
23.30440903,25.39643800,-32.85269100
23.21844864,25.39647800,-32.80918600
22.25777817,25.39654500,-32.80967000
22.34016800,25.39655500,-32.85311700
23.04713821,25.39659200,-32.82977000
25.20833015,25.39662000,-32.79351600
22.57305145,25.39668700,-32.82528900
22.75543785,25.39670700,-32.80693500
21.12480545,25.39701600,-32.83963500
23.05985832,25.39762300,-32.84411000
21.97175789,25.39770900,-32.82695600
23.20834541,25.39786200,-32.80507700
21.14156914,25.39827700,-32.82181400
22.55143356,25.39832600,-32.85028500
21.89290428,25.39848700,-32.82556900
23.29690742,25.39852100,-32.84553800
23.70553970,25.39872300,-32.79732400
19.93547821,25.39897900,-32.82186000
23.16672897,25.39900000,-32.82498900
24.42493820,25.39917800,-32.79696000
22.54709053,25.39929800,-32.85563700
23.07765579,25.39931900,-32.82818100
24.20450211,25.39932500,-32.79618700
21.21228218,25.39970100,-32.81418800
21.97822952,25.39971300,-32.84714800
21.93998909,25.39987600,-32.85776700
24.58606148,25.39995300,-32.79787600
23.62136650,25.39996900,-32.78954900
22.42582130,25.40021300,-32.78861200
23.46419525,25.40051700,-32.78647100
23.21290207,25.40110500,-32.81298100
22.29454231,25.40128800,-32.84346400
23.87511063,25.40234500,-32.80758000
23.64432144,25.40271900,-32.82863500
23.97812653,25.40282200,-32.81409200
23.65741920,25.40309200,-32.79412300
17.84667206,25.40373400,-32.84113600
23.04128075,25.40380300,-32.80675200
23.54681015,25.40382900,-32.84891000
24.54693413,25.40434700,-32.80587200
